# curated/lemmas.tsv: headword-level decisions. Columns: lemma<TAB>pos<TAB>tier<TAB>tags
# tier: 1|2|3|x (x = removed). Empty tier is allowed when a tag implies one (see TAG_POLICY in engine.js).
# pos: N|V|A|ADV for MorphoBr lemmas, or a stub label (PROP, ABBR, INTJ, LOAN, -).
# tags: comma-separated (english, firstname, nonword, polemic, place, abbrev, interj, country, ...).
bonzinha	-	3
bonzinhas	-	3
boot	N	3	english
boquete	-	3
bora	INTJ	3	interj
bordada	N	3
bosta	N	3
bot	-	3	english
botox	-	2
bottom	-	3	english
boulevard	-	3	english
bourbon	-	3	english
boutique	N	3
box	-	3
bpm	ABBR	3	abbrev
brama	-	3
brasilio	-	2
breakfast	-	3	english
brinca	N	3
brota	N	3
browser	-	3	english
brusca	N	3
brusque	-	3	place
buceta	-	3
bucetas	-	3
bucetinha	-	3
bufa	N	3
bufas	N	3
bug	-	3	english
bugio	-	3
bugs	-	3	english
bule	N	3
bulgaria	-	3	country
bull	-	x
bullying	-	3
bumba	N	2	place
bumbum	N	3
bunda	-	2	place
burla	N	3	place
bus	N	3	english
busao	-	2
business	-	3	english
button	-	3	english
buzina	N	3
bye	-	3	english
caca	N	3
cacada	N	3
caduca	N	3
caete	A	3	place
cagar	V	2
caiba	N	3
caibo	N	3
caibra	N	2
caico	-	3	place
caida	N	3
caidos	N	3
cairo	N	3	place
calce	N	3
calei	N	3
cambada	N	3
camping	N	3	english
cancela	N	3
capacitado	A	3
capitula	N	2
capo	N	3
captura	N	3
caralho	N	3
cariri	A	3
carre	-	3
carrega	N	3
cartoon	N	3
cash	-	x	english
casino	N	3
cassa	-	3
cassado	A	3
cast	-	x	english
casula	N	2	place
cativa	N	3	place
cautela	N	3
cavies	-	3
ce	N	3
ceado	A	3
cedido	A	3
ceifa	N	3
censo	N	1
cep	ABBR	3	abbrev
cevada	N	3
champagne	N	3
champanhe	N	3
chapeco	-	3	place
chat	-	3
chef	-	3	english
chefaos	-	2
chefia	N	3
cheira	N	3
chi	N	3
chia	N	3	place
chic	-	3	english
chile	N	2	country
china	-	2	country
chip	N	3
choca	N	3
chora	N	3
chupa	-	3
chupar	V	3
cia	N	3
cinetico	-	3
clean	-	3	english
click	-	3	english
clip	-	3	english
close	N	3	english
closet	N	3	english
cluster	N	3	english
coach	-	3	english
coaching	-	3	english
coada	N	3
coado	-	3
cobica	N	3
coeges	-	3
coito	N	2
colada	N	3
comas	N	3
comboia	N	2
cometida	N	3
comoda	N	3
compensado	A	3
completado	A	3
concorde	A	3
concursa	-	2
concursas	-	2
conduto	N	2
consola	N	3
consolo	N	3
consome	N	3
contenda	N	2	place
cookies	-	3	english
cool	-	3	english
cora	N	3
corneo	-	2
corno	-	2
corta	N	3
cos	N	3
costeiro	-	2
costura	N	3
cotio	-	3
cottage	N	3	english
country	-	3	english
crava	N	3
crido	A	3
cross	-	x	english
cu	N	3
cult	LOAN	3	english
cultivado	A	3
curry	-	2
cute	N	3
dalai	-	3	place
damo	N	3
debatido	A	3
debil	A	2
deck	-	x	english
decor	N	x	english
decorrido	A	3
dedaos	-	x
default	-	3	english
deita	N	3
del	-	3
delivery	-	3	english
demo	N	3
dentuco	-	2
departir	-	3
deriva	N	3
derrama	N	3
derrame	N	3
derrete	N	3
derretido	A	3
derruba	N	3
derrubado	-	3
desativado	A	3
descartado	A	3
desempenhado	A	3
desfiado	A	3
designer	N	3
desktop	-	3	english
deslize	N	3
deslocado	A	3
despejo	N	3
despertado	A	3
destro	-	2
desviado	A	3
die	A	x
diese	N	3
diet	LOAN	3	english
difundido	A	3
dildo	-	2	english
diminuido	A	3
diretivo	A	3
diretriz	N	3
disfarcado	A	3
disfarce	N	3
disparado	-	3
display	N	3	english
dissolvido	A	3
distraido	A	3
diversaos	-	2
divinopolis	-	3	place
divisa	N	3
dizima	N	3
dna	ABBR	3	abbrev
doado	A	3
dobrada	N	3	place
doma	N	3	place
dope	N	2
dora	N	3	firstname,english
dosa	N	3
doula	-	2
down	-	3
drear	-	3
drink	-	3	english
drinks	-	3	english
drive	N	3
driver	-	3	english
drone	-	2	english
drusa	-	3
dublas	N	3
dunga	-	3
duns	-	2
duo	N	3
dutil	-	x
duto	-	2
duzia	N	1
ebola	N	2
ebook	-	3
egito	-	2	country
eh	-	3
eira	N	3
eiro	N	3
eita	-	3
eletro	N	3
elfos	-	2
elixis	-	3
elogiado	A	3
email	N	2	english
embala	N	3
embate	N	3
emo	LOAN	3	english
emoji	-	2
empata	N	3
empatado	A	3
empenho	N	3
empurra	N	3
encarado	A	3
encerra	N	3
encomendado	A	3
encosta	N	3
encostado	A	3
engorda	N	3
enquadrado	A	3
enriquecido	A	3
enrolado	A	3
enter	-	3
enterro	N	3
entorna	N	2
envelhecido	A	3
enxerga	N	3
epica	N	3
erbio	N	3
erotico	-	3
escalado	A	3
escoa	N	3
escova	N	3
escusa	N	3
escuta	N	3
escutado	A	3
esimos	-	3
espalha	N	3
espalhada	N	3
espalhado	-	3
espanto	N	3
espia	N	3
espira	N	3
espuma	N	3
esquadro	N	3
esquivo	-	2
estaca	N	3
estacionado	A	3
estala	N	3
estimulado	A	3
estorva	N	2
estouro	N	3
estupro	N	3
eta	-	3
etipes	-	3
evidenciado	A	3
evoluido	A	3
exagero	N	3
exaltado	A	3
examina	N	3
examinando	-	3
excel	-	2	english
excitacao	N	3
excitado	A	3
expandido	A	3
expedida	N	3
expensas	N	2
expert	N	3	english
expo	N	x
facilitado	A	3
fair	-	x	english
faisca	N	3
fake	-	3	english
familio	-	2
fanta	N	2
farroupilha	N	3	place
farta	N	3
fashion	-	3	english
fast	-	3	english
fatuo	A	3
fatura	N	3
favorecido	A	3
fdp	-	3
feedback	N	3	english
feria	N	3
ferra	N	3
fetiche	N	3
fev	-	3
file	N	3
finca	N	3
finda	N	3
finta	-	3
firewall	N	3	english
fitness	-	3	english
fixe	A	3
flagra	N	3
flash	N	2
flat	N	3	english
flato	N	3
flecha	N	3
flex	LOAN	3	english
foda	N	3
foder	V	3	polemic
fofas	N	3
folheado	-	3
folk	-	3
food	-	3	english
formata	-	3
formatares	-	3
formatas	-	3
formigo	-	2
forra	-	3
fotografado	A	3
four	N	x	english
fox	-	3
fraterna	N	3
frequentado	A	3
friges	-	3
frisa	N	3
frita	N	3
fudendo	-	3
fugida	N	3
fugido	A	3
fujias	-	3
fujires	-	3
funda	N	3
funga	N	3
funk	N	3
fura	N	3
furado	-	3
futon	-	2
gabao	N	3	country
gabarita	-	2
gabaritas	-	2
gabo	-	3
gafe	-	2
gaia	PROP	3	place
gajo	-	3
galga	N	3
galias	-	3
galinho	N	2
gamer	-	3	english
gap	-	3	place
garanhuns	-	3	place
garco	-	3
gari	N	2
gateway	-	3	english
gay	-	3	place
geek	LOAN	3	english
georgia	-	3	country
giza	-	3
gizado	-	3
gizai	-	3
gizais	-	3
gizam	-	3
gizamos	-	3
gizando	-	3
gizar	-	3
gizara	-	3
gizaram	-	3
gizaramos	-	3
gizarao	-	3
gizaras	-	3
gizardes	-	3
gizarei	-	3
gizareis	-	3
gizarem	-	3
gizaremos	-	3
gizares	-	3
gizaria	-	3
gizariam	-	3
gizariamos	-	3
gizarias	-	3
gizarieis	-	3
gizarmos	-	3
gizas	-	3
gizasse	-	3
gizasseis	-	3
gizassem	-	3
gizassemos	-	3
gizasses	-	3
gizaste	-	3
gizastes	-	3
gizava	-	3
gizavam	-	3
gizavamos	-	3
gizavas	-	3
gizaveis	-	3
gize	-	3
gizei	-	3
gizeis	-	3
gizem	-	3
gizemos	-	3
gizo	-	3
gizou	-	3
glace	-	2
gois	PROP	3	place
golaco	N	3
gora	-	3
goraz	-	3
gospel	N	3
governado	A	3
gozar	V	3	polemic
gra	N	3
graal	N	3
gracioso	-	3
grena	-	3
grid	-	3	english
grifa	N	3
grila	N	3
grita	N	3
grosa	N	3
guararapes	-	3	place
guatemala	-	3	country
gude	-	2
guiado	A	3
guiao	-	3
guincha	N	2
guru	N	3
habitado	A	3
hacker	N	3
happy	-	3	english
hard	-	3	english
hardcore	-	3	english
hardware	N	3
havana	-	3	place
he	-	3
hein	INTJ	3	interj
hepatico	A	2
hi	-	3	english
hidratado	A	3
hifen	N	1
hip	-	3
hit	N	3	place,english
homossexualismo	N	3
honduras	-	3	country
honras	N	3
host	-	3	english
hot	A	3	english
hour	-	x	english
hub	-	x	place
hum	INTJ	3	interj
ica	A	3	place
icado	A	3
icara	N	3	place
idos	N	3
iemen	-	2	country
ilho	N	2
ima	N	2
imaginado	A	3
imersaos	-	2
imortais	N	3
impulsionado	A	3
inca	-	3	place
incentivado	A	3
incesto	-	3
incha	N	3
incomodado	A	3
induzido	-	3
inferiora	-	2
inferioras	-	2
ingenua	N	3
ingerido	A	3
interface	N	3
intima	N	3
invadido	A	3
inversa	N	3
invertido	-	3
investida	N	3
ion	-	2
islandia	-	3	country
iso	-	3
it	N	3	english
itapemirim	-	3	place
itau	PROP	3
itrio	N	3
jacarei	-	3	place
jacobino	-	3
jacuzzi	-	3
jaguar	N	3
jamaica	-	3	country
jan	-	3
janta	N	3
japao	N	2	country
jau	-	3	place
java	-	3
jazz	N	3
jean	-	x
jersey	-	3
jesus	N	3	firstname
jet	-	3	english
jiu	-	x
job	N	3
jorra	N	3
judeia	-	2
jul	-	3
jun	-	3
juntada	-	3
juntado	A	3
kansas	-	3
karaoke	N	3
karate	N	3
karma	-	3	english
kart	N	3
labuta	N	3
lactea	N	3
lady	N	3	english
laptop	N	3
late	N	3
lavada	N	3
lavra	N	3
layout	N	3
le	N	3
led	ABBR	3	abbrev
leria	N	3
lesbico	A	2
lestes	A	3
lias	N	3
light	-	2
like	-	3	english
lima	N	3	place
lins	PROP	3	place
liquida	N	3
lirio	N	1
lituanio	A	3
living	N	3	english
lixeiro	N	2
loa	N	3	english
lobby	N	3
loca	N	3
loco	N	3
log	N	3	english
loga	-	3
logado	-	3
logai	-	3
logais	-	3
logam	-	2
logamos	-	2
logar	-	2
logara	-	2
logaram	-	2
